UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
AM,13.0,3569.0,Rio Preto da Eva,25723.0
AM,13.0,3601.0,Santa Isabel do Rio Negro,14176.0
AM,13.0,3700.0,Santo Antônio do Içá,30448.0
AM,13.0,3809.0,São Gabriel da Cachoeira,56406.0
AM,13.0,3908.0,São Paulo de Olivença,35196.0
AM,13.0,3957.0,São Sebastião do Uatumã,12247.0
AM,13.0,4005.0,Silves,12404.0
AM,13.0,4062.0,Tabatinga,72283.0
AM,13.0,4104.0,Tapauá,20501.0
AM,13.0,4203.0,Tefé,79278.0
AM,13.0,4237.0,Tonantins,20224.0
AM,13.0,4260.0,Uarini,15278.0
AM,13.0,4302.0,Urucará,19505.0
AM,13.0,4401.0,Urucurituba,25592.0
RR,14.0,27.0,Amajari,15583.0
RR,14.0,50.0,Alto Alegre,23049.0
RR,14.0,100.0,Boa Vista,470169.0
RR,14.0,159.0,Bonfim,15222.0
RR,14.0,175.0,Cantá,20552.0
RR,14.0,209.0,Caracaraí,22443.0
RR,14.0,233.0,Caroebe,11708.0
RR,14.0,282.0,Iracema,10778.0
RR,14.0,308.0,Mucajaí,19619.0
RR,14.0,407.0,Normandia,15744.0
RR,14.0,456.0,Pacaraima,22104.0
RR,14.0,472.0,Rorainópolis,36747.0
RR,14.0,506.0,São João da Baliza,9727.0
RR,14.0,605.0,São Luiz,7777.0
RR,14.0,704.0,Uiramutã,15571.0
PA,15.0,107.0,Abaetetuba,170999.0
PA,15.0,131.0,Abel Figueiredo,6302.0
PA,15.0,206.0,Acará,62701.0
PA,15.0,305.0,Afuá,40246.0
PA,15.0,347.0,Água Azul do Norte,17960.0
PA,15.0,404.0,Alenquer,74836.0
PA,15.0,503.0,Almeirim,36334.0
PA,15.0,602.0,Altamira,136982.0
PA,15.0,701.0,Anajás,30003.0
PA,15.0,800.0,Ananindeua,507838.0
PA,15.0,859.0,Anapu,34947.0
PA,15.0,909.0,Augusto Corrêa,47596.0
PA,15.0,958.0,Aurora do Pará,24321.0
PA,15.0,1006.0,Aveiro,19223.0
PA,15.0,1105.0,Bagre,34633.0
PA,15.0,1204.0,Baião,55949.0
PA,15.0,1253.0,Bannach,4252.0
PA,15.0,1303.0,Barcarena,137331.0
PA,15.0,1402.0,Belém,1398531.0
PA,15.0,1451.0,Belterra,18954.0
PA,15.0,1501.0,Benevides,68191.0
PA,15.0,1576.0,Bom Jesus do Tocantins,18958.0
PA,15.0,1600.0,Bonito,12998.0
PA,15.0,1709.0,Bragança,131679.0
PA,15.0,1725.0,Brasil Novo,26606.0
PA,15.0,1758.0,Brejo Grande do Araguaia,6985.0
PA,15.0,1782.0,Breu Branco,47351.0
PA,15.0,1808.0,Breves,115051.0
PA,15.0,1907.0,Bujaru,25112.0
PA,15.0,1956.0,Cachoeira do Piriá,19578.0
PA,15.0,2004.0,Cachoeira do Arari,25243.0
PA,15.0,2103.0,Cametá,143837.0
PA,15.0,2152.0,Canaã dos Carajás,86629.0
PA,15.0,2202.0,Capanema,74808.0
PA,15.0,2301.0,Capitão Poço,59960.0
PA,15.0,2400.0,Castanhal,207603.0
PA,15.0,2509.0,Chaves,21487.0
PA,15.0,2608.0,Colares,13526.0
PA,15.0,2707.0,Conceição do Araguaia,47099.0
PA,15.0,2756.0,Concórdia do Pará,28287.0
PA,15.0,2764.0,Cumaru do Norte,14937.0
PA,15.0,2772.0,Curionópolis,20859.0
PA,15.0,2806.0,Curralinho,36451.0
PA,15.0,2855.0,Curuá,14834.0
PA,15.0,2905.0,Curuçá,44413.0
PA,15.0,2939.0,Dom Eliseu,62322.0
PA,15.0,2954.0,Eldorado do Carajás,29425.0
PA,15.0,3002.0,Faro,9125.0
PA,15.0,3044.0,Floresta do Araguaia,18565.0
PA,15.0,3077.0,Garrafão do Norte,25552.0
PA,15.0,3093.0,Goianésia do Pará,27059.0
PA,15.0,3101.0,Gurupá,33922.0
PA,15.0,3200.0,Igarapé-Açu,37855.0
PA,15.0,3309.0,Igarapé-Miri,68955.0
PA,15.0,3408.0,Inhangapi,10754.0
PA,15.0,3457.0,Ipixuna do Pará,30158.0
PA,15.0,3507.0,Irituia,32698.0
PA,15.0,3606.0,Itaituba,133684.0
PA,15.0,3705.0,Itupiranga,52187.0
PA,15.0,3754.0,Jacareacanga,26006.0
PA,15.0,3804.0,Jacundá,38391.0
PA,15.0,3903.0,Juruti,53952.0
PA,15.0,4000.0,Limoeiro do Ajuru,31778.0
PA,15.0,4059.0,Mãe do Rio,37048.0
PA,15.0,4109.0,Magalhães Barata,8428.0
PA,15.0,4208.0,Marabá,288513.0
PA,15.0,4307.0,Maracanã,27207.0
PA,15.0,4406.0,Marapanim,28105.0
PA,15.0,4422.0,Marituba,118998.0
PA,15.0,4455.0,Medicilândia,28633.0
PA,15.0,4505.0,Melgaço,29846.0
PA,15.0,4604.0,Mocajuba,28821.0
PA,15.0,4703.0,Moju,90795.0
PA,15.0,4752.0,Mojuí dos Campos,25312.0
PA,15.0,4802.0,Monte Alegre,63641.0
PA,15.0,4901.0,Muaná,48955.0
PA,15.0,4950.0,Nova Esperança do Piriá,21259.0
PA,15.0,4976.0,Nova Ipixuna,14417.0
PA,15.0,5007.0,Nova Timboteua,13204.0
PA,15.0,5031.0,Novo Progresso,36518.0
PA,15.0,5064.0,Novo Repartimento,63754.0
PA,15.0,5106.0,Óbidos,55271.0
PA,15.0,5205.0,Oeiras do Pará,36377.0
PA,15.0,5304.0,Oriximiná,72460.0
PA,15.0,5403.0,Ourém,18675.0
PA,15.0,5437.0,Ourilândia do Norte,34905.0
PA,15.0,5486.0,Pacajá,43594.0
PA,15.0,5494.0,Palestina do Pará,7086.0
PA,15.0,5502.0,Paragominas,112843.0
PA,15.0,5536.0,Parauapebas,298854.0
PA,15.0,5551.0,Pau D'Arco,7296.0
PA,15.0,5601.0,Peixe-Boi,8651.0
PA,15.0,5635.0,Piçarra,13341.0
PA,15.0,5650.0,Placas,18772.0
PA,15.0,5700.0,Ponta de Pedras,25767.0
PA,15.0,5809.0,Portel,66898.0
PA,15.0,5908.0,Porto de Moz,43673.0
PA,15.0,6005.0,Prainha,38318.0
PA,15.0,6104.0,Primavera,11332.0
PA,15.0,6112.0,Quatipuru,11870.0
PA,15.0,6138.0,Redenção,91947.0
PA,15.0,6161.0,Rio Maria,19129.0
PA,15.0,6187.0,Rondon do Pará,56593.0
PA,15.0,6195.0,Rurópolis,37360.0
PA,15.0,6203.0,Salinópolis,48168.0
PA,15.0,6302.0,Salvaterra,25441.0
PA,15.0,6351.0,Santa Bárbara do Pará,22288.0
PA,15.0,6401.0,Santa Cruz do Arari,7654.0
PA,15.0,6500.0,Santa Izabel do Pará,78317.0
PA,15.0,6559.0,Santa Luzia do Pará,21217.0
PA,15.0,6583.0,Santa Maria das Barreiras,17079.0
PA,15.0,6609.0,Santa Maria do Pará,25696.0
PA,15.0,6708.0,Santana do Araguaia,31683.0
PA,15.0,6807.0,Santarém,357311.0
PA,15.0,6906.0,Santarém Novo,6348.0
PA,15.0,7003.0,Santo Antônio do Tauá,29134.0
PA,15.0,7102.0,São Caetano de Odivelas,17248.0
PA,15.0,7151.0,São Domingos do Araguaia,21638.0
PA,15.0,7201.0,São Domingos do Capim,32449.0
PA,15.0,7300.0,São Félix do Xingu,65957.0
PA,15.0,7409.0,São Francisco do Pará,15418.0
PA,15.0,7458.0,São Geraldo do Araguaia,24978.0
PA,15.0,7466.0,São João da Ponta,4509.0
PA,15.0,7474.0,São João de Pirabas,21447.0
PA,15.0,7508.0,São João do Araguaia,14246.0
PA,15.0,7607.0,São Miguel do Guamá,55798.0
PA,15.0,7706.0,São Sebastião da Boa Vista,27441.0
PA,15.0,7755.0,Sapucaia,6160.0
PA,15.0,7805.0,Senador José Porfírio,24441.0
PA,15.0,7904.0,Soure,25218.0
PA,15.0,7953.0,Tailândia,75526.0
PA,15.0,7961.0,Terra Alta,10815.0
PA,15.0,7979.0,Terra Santa,19667.0
PA,15.0,8001.0,Tomé-Açu,72326.0
PA,15.0,8035.0,Tracuateua,30373.0
PA,15.0,8050.0,Trairão,15619.0
PA,15.0,8084.0,Tucumã,42480.0
PA,15.0,8100.0,Tucuruí,96238.0
PA,15.0,8126.0,Ulianópolis,39576.0
PA,15.0,8159.0,Uruará,45939.0
PA,15.0,8209.0,Vigia,53806.0
PA,15.0,8308.0,Viseu,61970.0
PA,15.0,8357.0,Vitória do Xingu,16414.0
PA,15.0,8407.0,Xinguara,56999.0
AP,16.0,55.0,Serra do Navio,4986.0
AP,16.0,105.0,Amapá,8434.0
AP,16.0,154.0,Pedra Branca do Amapari,13798.0
AP,16.0,204.0,Calçoene,11391.0
AP,16.0,212.0,Cutias,4725.0
AP,16.0,238.0,Ferreira Gomes,7145.0
AP,16.0,253.0,Itaubal,6043.0
AP,16.0,279.0,Laranjal do Jari,37969.0
AP,16.0,303.0,Macapá,487200.0
AP,16.0,402.0,Mazagão,23575.0
AP,16.0,501.0,Oiapoque,30481.0
AP,16.0,535.0,Porto Grande,18988.0
AP,16.0,550.0,Pracuúba,4042.0
AP,16.0,600.0,Santana,118353.0
AP,16.0,709.0,Tartarugalzinho,13785.0
AP,16.0,808.0,Vitória do Jari,11922.0
TO,17.0,251.0,Abreulândia,2668.0
TO,17.0,301.0,Aguiarnópolis,4537.0
TO,17.0,350.0,Aliança do Tocantins,5222.0
TO,17.0,400.0,Almas,6542.0
TO,17.0,707.0,Alvorada,9094.0
TO,17.0,1002.0,Ananás,10662.0
TO,17.0,1051.0,Angico,2918.0
TO,17.0,1101.0,Aparecida do Rio Negro,5067.0
TO,17.0,1309.0,Aragominas,5360.0
TO,17.0,1903.0,Araguacema,6039.0
TO,17.0,2000.0,Araguaçu,8273.0
TO,17.0,2109.0,Araguaína,181493.0
TO,17.0,2158.0,Araguanã,4338.0
TO,17.0,2208.0,Araguatins,33205.0
TO,17.0,2307.0,Arapoema,5553.0
TO,17.0,2406.0,Arraias,10522.0
TO,17.0,2554.0,Augustinópolis,18128.0
TO,17.0,2703.0,Aurora do Tocantins,3420.0
TO,17.0,2901.0,Axixá do Tocantins,10663.0
TO,17.0,3008.0,Babaçulândia,7779.0
TO,17.0,3057.0,Bandeirantes do Tocantins,3534.0
TO,17.0,3073.0,Barra do Ouro,4641.0
TO,17.0,3107.0,Barrolândia,4915.0
TO,17.0,3206.0,Bernardo Sayão,4316.0
TO,17.0,3305.0,Bom Jesus do Tocantins,4181.0
TO,17.0,3602.0,Brasilândia do Tocantins,2016.0
TO,17.0,3701.0,Brejinho de Nazaré,4796.0
TO,17.0,3800.0,Buriti do Tocantins,10654.0
TO,17.0,3826.0,Cachoeirinha,1991.0
TO,17.0,3842.0,Campos Lindos,8951.0
TO,17.0,3867.0,Cariri do Tocantins,4147.0
TO,17.0,3883.0,Carmolândia,2246.0
TO,17.0,3891.0,Carrasco Bonito,3362.0
TO,17.0,3909.0,Caseara,5009.0
TO,17.0,4105.0,Centenário,2135.0
TO,17.0,4600.0,Chapada de Areia,1563.0
TO,17.0,5102.0,Chapada da Natividade,3182.0
TO,17.0,5508.0,Colinas do Tocantins,35957.0
TO,17.0,5557.0,Combinado,4896.0
TO,17.0,5607.0,Conceição do Tocantins,3956.0
TO,17.0,6001.0,Couto Magalhães,5515.0
TO,17.0,6100.0,Cristalândia,6437.0
TO,17.0,6258.0,Crixás do Tocantins,1499.0
TO,17.0,6506.0,Darcinópolis,6054.0
TO,17.0,7009.0,Dianópolis,18031.0
TO,17.0,7108.0,Divinópolis do Tocantins,7297.0
TO,17.0,7207.0,Dois Irmãos do Tocantins,6395.0
TO,17.0,7306.0,Dueré,4321.0
TO,17.0,7405.0,Esperantina,7493.0
TO,17.0,7553.0,Fátima,3520.0
TO,17.0,7652.0,Figueirópolis,5336.0
TO,17.0,7702.0,Filadélfia,7823.0
TO,17.0,8205.0,Formoso do Araguaia,19428.0
TO,17.0,8254.0,Tabocão,3676.0
TO,17.0,8304.0,Goianorte,4840.0
TO,17.0,9005.0,Goiatins,12816.0
TO,17.0,9302.0,Guaraí,25681.0
TO,17.0,9500.0,Gurupi,89574.0
TO,17.0,9807.0,Ipueiras,1627.0
TO,17.0,10508.0,Itacajá,6969.0
TO,17.0,10706.0,Itaguatins,5206.0
TO,17.0,10904.0,Itapiratins,3679.0
TO,17.0,11100.0,Itaporã do Tocantins,2464.0
TO,17.0,11506.0,Jaú do Tocantins,3403.0
TO,17.0,11803.0,Juarina,2305.0
TO,17.0,11902.0,Lagoa da Confusão,16312.0
TO,17.0,11951.0,Lagoa do Tocantins,3610.0
TO,17.0,12009.0,Lajeado,3520.0
TO,17.0,12157.0,Lavandeira,1673.0
TO,17.0,12405.0,Lizarda,2991.0
TO,17.0,12454.0,Luzinópolis,2803.0
TO,17.0,12504.0,Marianópolis do Tocantins,4772.0
TO,17.0,12702.0,Mateiros,2888.0
TO,17.0,12801.0,Maurilândia do Tocantins,3171.0
TO,17.0,13205.0,Miracema do Tocantins,18787.0
TO,17.0,13304.0,Miranorte,13056.0
TO,17.0,13601.0,Monte do Carmo,5722.0
TO,17.0,13700.0,Monte Santo do Tocantins,2500.0
TO,17.0,13809.0,Palmeiras do Tocantins,4897.0
TO,17.0,13957.0,Muricilândia,3485.0
TO,17.0,14203.0,Natividade,8961.0
TO,17.0,14302.0,Nazaré,4660.0
TO,17.0,14880.0,Nova Olinda,10609.0
TO,17.0,15002.0,Nova Rosalândia,3403.0
TO,17.0,15101.0,Novo Acordo,4102.0
TO,17.0,15150.0,Novo Alegre,1841.0
TO,17.0,15259.0,Novo Jardim,2263.0
TO,17.0,15507.0,Oliveira de Fátima,1211.0
TO,17.0,15705.0,Palmeirante,4909.0
TO,17.0,15754.0,Palmeirópolis,7119.0
TO,17.0,16109.0,Paraíso do Tocantins,55164.0
TO,17.0,16208.0,Paranã,10854.0
TO,17.0,16307.0,Pau D'Arco,4085.0
TO,17.0,16505.0,Pedro Afonso,14731.0
TO,17.0,16604.0,Peixe,9438.0
TO,17.0,16653.0,Pequizeiro,5038.0
TO,17.0,16703.0,Colméia,9158.0
TO,17.0,17008.0,Pindorama do Tocantins,4596.0
TO,17.0,17206.0,Piraquê,2265.0
TO,17.0,17503.0,Pium,7375.0
TO,17.0,17800.0,Ponte Alta do Bom Jesus,4295.0
TO,17.0,17909.0,Ponte Alta do Tocantins,7842.0
TO,17.0,18006.0,Porto Alegre do Tocantins,2953.0
TO,17.0,18204.0,Porto Nacional,68555.0
TO,17.0,18303.0,Praia Norte,9460.0
TO,17.0,18402.0,Presidente Kennedy,3051.0
TO,17.0,18451.0,Pugmil,2231.0
TO,17.0,18501.0,Recursolândia,3471.0
TO,17.0,18550.0,Riachinho,4039.0
TO,17.0,18659.0,Rio da Conceição,1822.0
TO,17.0,18709.0,Rio dos Bois,2833.0
TO,17.0,18758.0,Rio Sono,4798.0
TO,17.0,18808.0,Sampaio,4372.0
TO,17.0,18840.0,Sandolândia,3873.0
TO,17.0,18865.0,Santa Fé do Araguaia,7489.0
TO,17.0,18881.0,Santa Maria do Tocantins,2726.0
TO,17.0,18899.0,Santa Rita do Tocantins,2291.0
TO,17.0,18907.0,Santa Rosa do Tocantins,4789.0
TO,17.0,19004.0,Santa Tereza do Tocantins,2889.0
TO,17.0,20002.0,Santa Terezinha do Tocantins,2463.0
TO,17.0,20101.0,São Bento do Tocantins,5936.0
TO,17.0,20150.0,São Félix do Tocantins,1875.0
TO,17.0,20200.0,São Miguel do Tocantins,13939.0
TO,17.0,20259.0,São Salvador do Tocantins,2385.0
TO,17.0,20309.0,São Sebastião do Tocantins,4189.0
TO,17.0,20499.0,São Valério,4547.0
TO,17.0,20655.0,Silvanópolis,5252.0
TO,17.0,20804.0,Sítio Novo do Tocantins,11334.0
TO,17.0,20853.0,Sucupira,1599.0
TO,17.0,20903.0,Taguatinga,14247.0
TO,17.0,20937.0,Taipas do Tocantins,2086.0
TO,17.0,20978.0,Talismã,2509.0
TO,17.0,21000.0,Palmas,323625.0
TO,17.0,21109.0,Tocantínia,7751.0
TO,17.0,21208.0,Tocantinópolis,23203.0
TO,17.0,21257.0,Tupirama,2003.0
TO,17.0,21307.0,Tupiratins,1897.0
TO,17.0,22081.0,Wanderlândia,10751.0
TO,17.0,22107.0,Xambioá,10683.0
MA,21.0,55.0,Açailândia,110506.0
MA,21.0,105.0,Afonso Cunha,6296.0
MA,21.0,154.0,Água Doce do Maranhão,12446.0
MA,21.0,204.0,Alcântara,18774.0
MA,21.0,303.0,Aldeias Altas,23782.0
MA,21.0,402.0,Altamira do Maranhão,6565.0
MA,21.0,436.0,Alto Alegre do Maranhão,24543.0
MA,21.0,477.0,Alto Alegre do Pindaré,26411.0
MA,21.0,501.0,Alto Parnaíba,11382.0
MA,21.0,550.0,Amapá do Maranhão,7364.0
MA,21.0,600.0,Amarante do Maranhão,38333.0
MA,21.0,709.0,Anajatuba,26221.0
MA,21.0,808.0,Anapurus,14111.0
MA,21.0,832.0,Apicum-Açu,17984.0
MA,21.0,873.0,Araguanã,11347.0
MA,21.0,907.0,Araioses,40278.0
MA,21.0,956.0,Arame,26191.0
MA,21.0,1004.0,Arari,30521.0
MA,21.0,1103.0,Axixá,12079.0
MA,21.0,1202.0,Bacabal,107620.0
MA,21.0,1251.0,Bacabeira,17414.0
MA,21.0,1301.0,Bacuri,16610.0
MA,21.0,1350.0,Bacurituba,5374.0
MA,21.0,1400.0,Balsas,106094.0
MA,21.0,1509.0,Barão de Grajaú,19458.0
MA,21.0,1608.0,Barra do Corda,87672.0
MA,21.0,1707.0,Barreirinhas,67999.0
MA,21.0,1731.0,Belágua,8716.0
MA,21.0,1772.0,Bela Vista do Maranhão,12073.0
MA,21.0,1806.0,Benedito Leite,5597.0
MA,21.0,1905.0,Bequimão,19983.0
MA,21.0,1939.0,Bernardo do Mearim,5983.0
MA,21.0,1970.0,Boa Vista do Gurupi,7769.0
MA,21.0,2002.0,Bom Jardim,34035.0
MA,21.0,2036.0,Bom Jesus das Selvas,29588.0
MA,21.0,2077.0,Bom Lugar,12414.0
MA,21.0,2101.0,Brejo,35322.0
MA,21.0,2150.0,Brejo de Areia,9387.0
MA,21.0,2200.0,Buriti,30799.0
MA,21.0,2309.0,Buriti Bravo,22940.0
MA,21.0,2325.0,Buriticupu,56896.0
MA,21.0,2358.0,Buritirana,13157.0
MA,21.0,2374.0,Cachoeira Grande,10004.0
MA,21.0,2408.0,Cajapió,10342.0
MA,21.0,2507.0,Cajari,16711.0
MA,21.0,2556.0,Campestre do Maranhão,12553.0
MA,21.0,2606.0,Cândido Mendes,20413.0
MA,21.0,2705.0,Cantanhede,24976.0
MA,21.0,2754.0,Capinzal do Norte,11664.0
MA,21.0,2804.0,Carolina,24606.0
MA,21.0,2903.0,Carutapera,24855.0
MA,21.0,3000.0,Caxias,163428.0
MA,21.0,3109.0,Cedral,10444.0
MA,21.0,3125.0,Central do Maranhão,7233.0
MA,21.0,3158.0,Centro do Guilherme,12668.0
MA,21.0,3174.0,Centro Novo do Maranhão,16529.0
MA,21.0,3208.0,Chapadinha,84202.0
MA,21.0,3257.0,Cidelândia,13152.0
MA,21.0,3307.0,Codó,118295.0
MA,21.0,3406.0,Coelho Neto,42918.0
MA,21.0,3505.0,Colinas,41745.0
MA,21.0,3554.0,Conceição do Lago-Açu,15264.0
MA,21.0,3604.0,Coroatá,61351.0
MA,21.0,3703.0,Cururupu,32608.0
MA,21.0,3752.0,Davinópolis,14788.0
MA,21.0,3802.0,Dom Pedro,23579.0
MA,21.0,3901.0,Duque Bacelar,10448.0
MA,21.0,4008.0,Esperantinópolis,18725.0
MA,21.0,4057.0,Estreito,34353.0
MA,21.0,4073.0,Feira Nova do Maranhão,8236.0
MA,21.0,4081.0,Fernando Falcão,11184.0
MA,21.0,4099.0,Formosa da Serra Negra,18133.0
MA,21.0,4107.0,Fortaleza dos Nogueiras,12951.0
MA,21.0,4206.0,Fortuna,17346.0
MA,21.0,4305.0,Godofredo Viana,10422.0
MA,21.0,4404.0,Gonçalves Dias,17579.0
MA,21.0,4503.0,Governador Archer,10472.0
MA,21.0,4552.0,Governador Edison Lobão,18908.0
MA,21.0,4602.0,Governador Eugênio Barros,14258.0
MA,21.0,4628.0,Governador Luiz Rocha,7219.0
MA,21.0,4651.0,Governador Newton Bello,10981.0
MA,21.0,4677.0,Governador Nunes Freire,23563.0
MA,21.0,4701.0,Graça Aranha,6161.0
MA,21.0,4800.0,Grajaú,76578.0
MA,21.0,4909.0,Guimarães,10470.0
MA,21.0,5005.0,Humberto de Campos,26546.0
MA,21.0,5104.0,Icatu,25332.0
MA,21.0,5153.0,Igarapé do Meio,14350.0
MA,21.0,5203.0,Igarapé Grande,10463.0
MA,21.0,5302.0,Imperatriz,285146.0
MA,21.0,5351.0,Itaipava do Grajaú,14143.0
MA,21.0,5401.0,Itapecuru Mirim,62269.0
MA,21.0,5427.0,Itinga do Maranhão,22934.0
MA,21.0,5450.0,Jatobá,7610.0
MA,21.0,5476.0,Jenipapo dos Vieiras,17499.0
MA,21.0,5500.0,João Lisboa,25287.0
MA,21.0,5609.0,Joselândia,15235.0
MA,21.0,5658.0,Junco do Maranhão,5275.0
MA,21.0,5708.0,Lago da Pedra,45875.0
MA,21.0,5807.0,Lago do Junco,9700.0
MA,21.0,5906.0,Lago Verde,15077.0
MA,21.0,5922.0,Lagoa do Mato,10809.0
MA,21.0,5948.0,Lago dos Rodrigues,8961.0
MA,21.0,5963.0,Lagoa Grande do Maranhão,11710.0
MA,21.0,5989.0,Lajeado Novo,7227.0
MA,21.0,6003.0,Lima Campos,11558.0
MA,21.0,6102.0,Loreto,11876.0
MA,21.0,6201.0,Luís Domingues,7351.0
